user_id,signup_date,status,miserable
628131,2019-12-11 14:36:21,emailverified,
179766,2018-06-15 20:15:30,banned,
655790,2020-03-20 15:17:46,emailverified,
657182,2020-03-27 04:52:57,emailverified,
131424,2018-04-20 20:55:32,emailverified,
617160,2019-11-04 19:45:27,ghost,
674236,2020-06-08 22:06:35,emailverified,
404039,2019-03-03 01:05:39,emailverified,
470402,2019-06-10 12:48:35,emailverified,
359452,2018-12-01 16:02:23,emailverified,
145794,2018-05-09 15:17:27,emailverified,0.0
388372,2019-01-27 19:00:18,emailverified,
680660,2020-06-30 19:51:02,ghost,
123048,2018-04-11 14:55:11,emailverified,0.0
334440,2018-11-08 10:15:02,emailverified,
680340,2020-06-29 17:21:28,emailverified,
600251,2019-09-21 02:35:22,emailverified,
670678,2020-05-26 10:26:35,emailverified,
617865,2019-11-06 22:46:26,emailverified,
680714,2020-07-01 00:32:33,emailverified,
640638,2020-01-25 17:16:10,emailverified,
638185,2020-01-16 15:50:27,emailverified,
138476,2018-05-01 11:23:31,emailverified,
602627,2019-09-25 11:05:26,banned,
114748,2018-04-06 15:37:54,emailverified,
664737,2020-05-03 01:33:42,emailverified,
533034,2019-08-03 17:57:52,emailverified,
119124,2018-04-08 14:55:07,emailverified,
65239,2015-10-30 22:55:59,emailverified,
214742,2018-07-17 17:45:58,emailverified,
321504,2018-10-26 20:35:00,emailverified,
132882,2018-04-23 10:24:17,emailverified,0.0
124978,2018-04-13 13:03:02,emailverified,
116320,2018-04-07 04:07:27,emailverified,
114170,2018-04-06 13:11:44,emailverified,0.0
680434,2020-06-30 01:53:09,emailverified,
427255,2019-04-13 18:56:25,emailverified,
373370,2018-12-19 23:23:42,emailverified,
502818,2019-07-13 22:17:30,disabled,
406743,2019-03-08 11:45:15,emailverified,
149706,2018-05-13 18:00:55,emailverified,0.0
553266,2019-08-19 17:44:50,emailverified,
176174,2018-06-11 11:15:30,emailverified,
395962,2019-02-14 06:14:10,emailverified,
627478,2019-12-09 02:48:44,emailverified,
677325,2020-06-19 20:44:31,emailverified,
410228,2019-03-13 23:10:42,emailverified,
152318,2018-05-16 10:32:48,emailverified,
76429,2016-06-25 00:27:38,emailverified,
